진료년도,시도,행위코드,환자수,명세서건수,의료행위총사용량,의료행위청구금액
2024,경기,N0705,394,402,371,90290026
2024,경기,N0706,15,18,18,9863960
2024,경기,N0708,242,251,292,100428927
2024,경기,N0709,127,135,160,60702833
2024,경기,N0710,7002,7190,7853,2402933507
2024,경기,N0711,2020,2132,2436,1822835962
2024,경기,N0714,9,9,9,2040887
2024,경기,N0715,1766,1852,2064,1147183103
2024,경기,N0718,572,610,696,265007577
2024,경기,N0721,15,18,19,12285684
2024,경기,N0722,217,222,243,83335198
2024,경기,N0723,177,179,235,42630723
2024,경기,N0733,301,314,353,173076451
2024,경기,N0734,446,460,550,139810318
2024,경기,N0735,6,7,9,3534721
2024,경기,N0736,80,82,95,54403626
2024,경기,N0737,26,26,29,18272750
2024,경기,N0738,1,1,2,586080
2024,경기,N0739,3,3,3,1784880
2024,경기,N0741,2,3,3,1787412
2024,경기,N0751,53,56,67,43222508
2024,경기,N0752,205,208,224,82929706
2024,경기,N0753,39,41,51,14109969
2024,경기,N0754,15,15,16,5396413
2024,경기,N0755,52,55,56,13293457
2024,경기,N0756,160,165,180,31407354
2024,경기,N0761,244,348,382,101247430
2024,경기,N0762,3231,3610,3694,479890044
2024,경기,N0763,1250,1297,1316,138735375
2024,경기,N0764,2745,2796,2864,271947380
2024,경기,N0765,9202,10944,10961,619820190
2024,경기,N0771,664,773,809,15232846
2024,경기,N0772,1,1,1,729344
2024,경기,N0780,4584,5413,5721,596866278
2024,경기,N0792,9,9,6,3199492
2024,경기,N0801,24,30,30,1989299
2024,경기,N0802,11,61,93,15494675
2024,경기,N0803,11,13,13,535020
2024,경기,N0804,3,7,8,342262
2024,경기,N0811,4,5,5,3526221
2024,경기,N0812,1,1,1,771167
2024,경기,N0820,45,65,104,39456651
2024,경기,N0821,9542,9719,10365,2405543828
2024,경기,N0822,1163,1180,1280,400121304
2024,경기,N0823,3986,4095,4222,1303195653
2024,경기,N0824,304,307,305,124161426
2024,경기,N0825,102,123,165,71218923
2024,경기,N0826,68,68,72,21523826
2024,경기,N0827,14,14,14,6017404
2024,경기,N0828,1409,1448,1524,653890999
2024,경기,N0829,36,40,50,22886374
2024,경기,N0830,6162,6373,7821,813881596
2024,경기,N0841,33,39,49,12449111
2024,경기,N0842,498,531,563,141106071
2024,경기,N0843,220,240,266,58466276
2024,경기,N0844,3877,4286,4568,419896163
2024,경기,N0860,45,45,45,17292905
2024,경기,N0870,67,72,90,23962065
2024,경기,N0880,2098,2113,2220,1058481151
2024,경기,N0881,1960,2041,2365,1234227541
2024,경기,N0890,75,76,86,25888161
2024,경기,N0900,5183,5304,5440,744453696
2024,경기,N0911,4175,4270,4566,679959698
2024,경기,N0912,6062,6125,6593,1233072367
2024,경기,N0920,1593,1646,1795,575387245
2024,경기,N0921,139,147,189,88752329
2024,경기,N0922,450,466,538,95084688
2024,경기,N0923,168,184,261,65222182
2024,경기,N0931,23239,23818,26075,7754240324
2024,경기,N0932,3118,3259,4039,1666717130
2024,경기,N0933,3473,3515,3799,918492744
2024,경기,N0934,157,159,184,68650635
2024,경기,N0935,3,3,2,425850
2024,경기,N0936,1,1,1,454346
2024,경기,N0940,5,5,6,1244256
2024,경기,N0941,1819,1853,1776,300111816
